,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Company,Model
1418,Kochi,2016,19947,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.04,Hyundai,Grand i10 Sportz
1419,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,,9.2,Ford,Endeavour 3.0L 4X4 AT
1420,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,5.7,Volkswagen,Polo Diesel Highline 1.2L
1421,Kochi,2018,55594,Diesel,Manual,First,18.49,1493.0,100.0,7.0,,8.48,Mahindra,TUV 300 2015-2019 mHAWK100 T8
1422,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,6.1,Renault,Duster 110PS Diesel RxZ
1423,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.74 Lakh,2.75,Maruti,Wagon R LXI
1424,Pune,2017,121000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,,8.0,Maruti,Ertiga SHVS VDI
1425,Jaipur,2010,73513,Petrol,Manual,First,19.7,796.0,46.3,5.0,,1.85,Maruti,Alto LXi BSIII
1426,Jaipur,2015,34000,Petrol,Automatic,First,20.51,998.0,67.0,5.0,,3.85,Maruti,Wagon R AMT VXI Option
1427,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.98 Lakh,4.74,Maruti,Eeco 7 Seater Standard
1428,Kochi,2013,74755,Diesel,Manual,First,19.6,1461.0,108.45,5.0,,5.63,Renault,Duster 110PS Diesel RxL
1429,Kochi,2011,25805,Petrol,Manual,First,18.2,1061.0,64.0,5.0,,2.62,Maruti,Zen Estilo 1.1 LX BSIII
1430,Kochi,2015,82603,Petrol,Manual,First,13.06,1598.0,102.53,5.0,,4.9,Renault,Duster Petrol RxL
1431,Chennai,2006,110000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,2.65,Honda,Civic 2006-2010 1.8 S MT
1432,Delhi,2012,88000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,,5.99,Mahindra,XUV500 W8 2WD
1433,Chennai,2011,110000,Diesel,Manual,Second,21.0,1461.0,64.1,5.0,,2.4,Mahindra,Verito 1.5 D6 BSIV
1434,Delhi,2017,15000,Petrol,Manual,First,21.7,999.0,67.0,5.0,4.98 Lakh,4.25,Renault,KWID Climber 1.0 MT
1435,Pune,2008,150000,Diesel,Manual,Second,28.4,1248.0,74.0,5.0,,2.7,Maruti,Swift DDiS VDI
1436,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198.0,67.0,5.0,,2.99,Datsun,GO T Option
1437,Chennai,2011,37442,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,3.4,Hyundai,i20 1.2 Magna
1438,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,,5.85,Maruti,Ertiga ZDI
1439,Jaipur,2014,42355,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,4.0,Hyundai,Grand i10 Magna
1440,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996.0,254.0,5.0,,14.12,BMW,3 Series 330i
1441,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998.0,163.7,5.0,,4.55,Chevrolet,Cruze LTZ
1442,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248.0,73.9,5.0,,2.9,Maruti,Ritz LDi
1443,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,,6.0,Mercedes-Benz,New C-Class C 200 Kompressor Elegance AT
1444,Kochi,2016,28470,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.95,Hyundai,i20 1.2 Magna Executive
1445,Kolkata,2014,9759,Petrol,Manual,First,20.3,998.0,68.05,5.0,,2.75,Hyundai,EON 1.0 Kappa Magna Plus Optional
1446,Pune,2014,75216,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,5.1,Maruti,Swift VDI
1447,Chennai,2017,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.75,Hyundai,i20 Sportz 1.2
1448,Mumbai,2014,59451,Petrol,Manual,First,18.5,1197.0,85.8,5.0,,3.69,Maruti,Ritz ZXi
1449,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,5.45,Maruti,Swift VDI
1450,Kochi,2018,15135,Petrol,Manual,First,17.5,1199.0,88.7,5.0,10.57 Lakh,9.29,Honda,WRV i-VTEC VX
1451,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1197.0,81.86,5.0,,4.0,Hyundai,Xcent 1.2 Kappa AT S Option
1452,Kolkata,2013,40000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,,2.9,Honda,Amaze E i-Vtech
1453,Pune,2013,21107,Petrol,Manual,First,17.1,1591.0,121.3,5.0,,5.25,Hyundai,Verna 1.6 SX VTVT (O)
1454,Mumbai,2014,56000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,,5.75,Honda,City V MT
1455,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1591.0,121.3,5.0,,13.12,Hyundai,Creta 1.6 SX Plus Dual Tone Petrol
1456,Kochi,2014,70963,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,7.83,Mahindra,XUV500 W8 2WD
1457,Mumbai,2013,25755,CNG,Manual,First,26.6,998.0,58.16,5.0,,3.15,Maruti,Wagon R LXI CNG
1458,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494.0,102.0,7.0,,10.4,Toyota,Innova 2.5 V Diesel 7-seater
1459,Pune,2012,75000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,4.35,Maruti,Swift VDI
1460,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998.0,67.0,5.0,6.33 Lakh,5.23,Maruti,Wagon R VXI AMT
1461,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197.0,81.86,5.0,8.1 Lakh,6.01,Hyundai,Grand i10 1.2 Kappa Asta
1462,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,4.4,Honda,Amaze VX i-DTEC
1463,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,,12.75,BMW,3 Series 320d Highline
1464,Delhi,2011,65000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,,2.4,Ford,Figo Petrol Titanium
1465,Kochi,2018,46007,Petrol,Manual,First,17.0,1198.0,73.75,5.0,,5.71,Volkswagen,Ameo 1.2 MPI Trendline
1466,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498.0,89.84,5.0,,5.49,Ford,Ecosport 1.5 DV5 MT Trend
1467,Pune,2004,73500,Petrol,Manual,Second,13.0,1343.0,90.0,5.0,,1.3,Honda,City 1.3 EXI
1468,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,,8.5,Mahindra,XUV500 W6 2WD
1469,Delhi,2012,115000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,,12.99,Toyota,Fortuner 4x2 Manual
1470,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.4 Lakh,5.0,Hyundai,Grand i10 1.2 Kappa Magna
1471,Pune,2017,41747,Diesel,Automatic,First,28.4,1248.0,73.75,5.0,11.26 Lakh,9.0,Maruti,Dzire AMT ZDI Plus
1472,Kochi,2016,38143,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,5.22,Maruti,Swift VDI
1473,Pune,2012,19030,Petrol,Manual,First,16.47,1198.0,73.9,5.0,,3.8,Volkswagen,Polo Petrol Highline 1.2L
1474,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197.0,78.9,5.0,7.59 Lakh,7.27,Toyota,Etios Liva 1.2 VX Dual Tone
1475,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197.0,81.8,5.0,7 Lakh,5.1,Maruti,Swift VXI
1476,Pune,2013,61000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.9,Maruti,Wagon R VXI
1477,Kochi,2012,4187,Petrol,Manual,First,26.0,624.0,35.0,4.0,,1.38,Tata,Nano Lx BSIV
1478,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798.0,157.8,5.0,,5.5,Skoda,Laura 1.8 TSI Ambiente
1479,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,11.26 Lakh,7.25,Volkswagen,Polo GT TSI
1480,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,6.98,Hyundai,Verna 1.6 SX
1481,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248.0,74.0,5.0,7.43 Lakh,5.25,Tata,Bolt Quadrajet XE
1482,Kolkata,2013,36000,Petrol,Manual,First,21.1,814.0,55.2,5.0,,1.95,Hyundai,EON D Lite Plus
1483,Kochi,2013,62162,Diesel,Manual,First,12.99,2494.0,100.0,7.0,,8.31,Toyota,Innova 2.5 GX (Diesel) 7 Seater
1484,Pune,2015,58000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,5.5,Hyundai,Xcent 1.1 CRDi S
1485,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,,5.89,Honda,Accord 2.4 AT
1486,Kochi,2016,50867,Diesel,Manual,First,20.34,1498.0,103.2,5.0,,7.95,Volkswagen,Vento 1.5 TDI Highline
1487,Mumbai,2010,73000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,,2.75,Hyundai,i20 Sportz Petrol
1488,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582.0,126.24,5.0,,6.25,Hyundai,Elantra CRDi SX
1489,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,4.95,Ford,Figo Diesel Titanium
1490,Kochi,2019,27339,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.27,Hyundai,i20 1.2 Magna Executive
1491,Kolkata,2017,25000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,,8.65,Hyundai,Verna 1.6 CRDi SX
1492,Kolkata,2014,37000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,3.5,Hyundai,Grand i10 Asta
1493,Kolkata,2015,27000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,,4.45,Maruti,Swift Dzire ZXi
1494,Kolkata,2012,37000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,2.65,Hyundai,i20 Magna
1495,Kolkata,2017,10500,Diesel,Manual,First,25.32,1198.0,77.0,5.0,,4.7,Mahindra,KUV 100 mFALCON D75 K4 Plus 5str
1496,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582.0,126.2,5.0,22.43 Lakh,8.9,Hyundai,Elantra 1.6 SX Option AT
1497,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248.0,88.5,5.0,,9.58,Maruti,Vitara Brezza VDi Option
1498,Kochi,2012,83184,Petrol,Manual,First,14.28,1798.0,138.03,5.0,21.69 Lakh,6.22,Toyota,Corolla Altis 1.8 GL
1499,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,7.8,Mahindra,XUV500 W8 2WD
1500,Pune,2015,29000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,,7.0,Hyundai,i20 Magna 1.4 CRDi
1501,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998.0,163.7,5.0,,6.5,Chevrolet,Cruze LTZ
1502,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197.0,80.0,5.0,,2.7,Hyundai,i20 1.2 Magna
1503,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,,2.5,Honda,Brio S MT
1504,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461.0,84.8,7.0,,3.9,Nissan,Evalia 2013 XL
1505,Delhi,2015,58000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,,3.95,Volkswagen,Polo Petrol Trendline 1.2L
1506,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,,2.1,Hyundai,i10 Sportz 1.2
1507,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991.0,147.9,4.0,,3.5,Chevrolet,Cruze LTZ AT
1508,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,,2.0,Hyundai,i10 Era
1509,Delhi,2014,79870,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,5.35,Maruti,Ertiga VDI
1510,Delhi,2013,90000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,3.8,Honda,Amaze S i-Dtech
1511,Kochi,2018,46493,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.32 Lakh,5.53,Hyundai,Grand i10 1.2 Kappa Magna
1512,Pune,2009,68000,Petrol,Manual,Third,20.36,1197.0,78.9,5.0,,1.95,Hyundai,i10 Sportz 1.2
1513,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,8.2,Maruti,Swift DDiS ZDI Plus
1514,Pune,1999,140000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,,0.9,Honda,City 1.3 EXI
1515,Pune,2013,255000,Diesel,Manual,Third,12.99,2494.0,100.6,7.0,,6.5,Toyota,Innova 2.5 GX (Diesel) 7 Seater
1516,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368.0,112.4,5.0,,6.58,Fiat,Linea T-Jet Active
1517,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399.0,92.7,5.0,,2.1,Chevrolet,Aveo 1.4 LT
1518,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,,2.0,Hyundai,i10 Era 1.1
1519,Delhi,2015,54000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,3.7,Hyundai,Xcent 1.1 CRDi Base
1520,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,,3.8,Maruti,Celerio VXI AT
1521,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.25,Hyundai,i10 Sportz
1522,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461.0,83.8,5.0,,5.53,Renault,Duster 85PS Diesel RxL
1523,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,43.31 Lakh,10.9,BMW,3 Series 320d
1524,Kolkata,2018,1800,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.1,Hyundai,Grand i10 Sportz
1526,Pune,2009,44200,Petrol,Manual,Second,18.0,995.0,62.0,5.0,,1.6,Chevrolet,Spark 1.0 LS
1527,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497.0,117.3,5.0,,11.25,Honda,City i VTEC VX Option
1528,Chennai,2013,720000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,5.9,Volkswagen,Vento Diesel Highline
1529,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,,14.4,Toyota,Fortuner 4x2 4 Speed AT
1530,Delhi,2011,68000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,3.6,Honda,City 1.5 S MT
1531,Delhi,2014,32805,Diesel,Manual,First,23.2,1248.0,73.94,5.0,,3.6,Maruti,Ritz LDi
1532,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,,7.12,Volkswagen,Vento 1.5 TDI Highline AT
1533,Kochi,2016,55700,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,7.52,Honda,City i DTEC SV
1534,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,,10.35,Audi,A4 New 2.0 TDI Multitronic
1535,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598.0,103.52,5.0,,7.0,Skoda,Rapid 1.6 MPI Elegance
1536,Delhi,2011,60000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,10.85,Toyota,Fortuner 3.0 Diesel
1537,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991.0,123.7,5.0,,2.35,Chevrolet,Optra Magnum 2.0 LT BS3
1538,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.71 Lakh,2.9,Maruti,Eeco 7 Seater Standard
1539,Delhi,2017,17000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,7.65,Maruti,Ciaz ZXi
1540,Delhi,2016,66000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,,6.4,Maruti,Ciaz VDi Plus SHVS
1541,Pune,2014,102418,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,10.1,Toyota,Innova 2.5 LE 2014 Diesel 7 Seater
1542,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197.0,85.8,5.0,,4.25,Maruti,Swift Dzire VXI
1543,Pune,2017,8200,Diesel,Manual,First,25.0,1396.0,69.0,5.0,,4.4,Tata,Indica V2 eLX
1544,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,,3.25,Hyundai,i20 Magna
1545,Pune,2012,78000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,,2.8,Ford,Fiesta 1.4 Duratorq ZXI
1546,Kolkata,2015,50000,Diesel,Manual,First,18.2,1248.0,73.74,8.0,,4.3,Chevrolet,Enjoy 1.3 TCDi LS 8
1547,Chennai,2006,89327,Diesel,Manual,Third,17.8,1399.0,68.0,5.0,,1.55,Ford,Fiesta 1.4 Duratorq EXI
1548,Chennai,2007,98000,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,,4.7,Honda,CR-V 2.4 MT
1549,Kochi,2017,24700,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,7.07,Honda,Jazz 1.2 VX i VTEC
1550,Delhi,2018,9434,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.71 Lakh,5.75,Hyundai,Grand i10 1.2 Kappa Sportz
1551,Mumbai,2012,29000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,,3.25,Maruti,Ritz VXi
1552,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1498.0,108.495,5.0,,8.89,Volkswagen,Ameo 1.5 TDI Highline AT
1553,Mumbai,2015,73070,Petrol,Manual,First,17.4,1497.0,117.3,5.0,,5.9,Honda,City i VTEC SV
1554,Kolkata,2016,21771,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,4.95,Honda,Jazz 1.2 S i VTEC
1555,Delhi,2014,62000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,,3.75,Maruti,Swift Ldi BSIV
1556,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,,10.97,Hyundai,Creta 1.6 CRDi AT SX Plus
1557,Kolkata,2014,26008,Petrol,Manual,First,21.1,814.0,55.2,5.0,,1.97,Hyundai,EON D Lite Plus
1558,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,,1.4,Ford,Figo Diesel EXI
1559,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198.0,73.75,5.0,8.68 Lakh,7.27,Volkswagen,Ameo 1.2 MPI Highline
1560,Kolkata,2013,40000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,,4.0,Renault,Scala Diesel RxL
1561,Kolkata,2015,45000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,4.75,Honda,Jazz 1.2 V i VTEC
1562,Delhi,2015,42000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,,5.1,Hyundai,i20 1.2 Sportz
1563,Delhi,2014,62000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,,10.55,Mahindra,Ssangyong Rexton RX7
1564,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896.0,66.0,5.0,,1.6,Skoda,Octavia Classic 1.9 TDI MT
1565,Kochi,2018,15982,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,9.96,Maruti,Ciaz 1.4 Zeta
1566,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,,4.75,Maruti,Swift ZDi
1567,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2446.0,75.0,10.0,,3.65,Toyota,Qualis FS B3
1568,Kochi,2013,48272,Diesel,Manual,First,10.5,2835.0,116.9,6.0,,11.82,Mitsubishi,Pajero 2.8 SFX BSIII Dual Tone
1569,Delhi,2008,63000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,,2.05,Toyota,Corolla H2
1570,Ahmedabad,2016,77000,CNG,Manual,First,26.6,998.0,58.16,5.0,,3.3,Maruti,Wagon R LXI CNG
1571,Mumbai,2013,11734,Petrol,Manual,First,16.8,796.0,34.2,8.0,,2.25,Maruti,Omni E MPI STD BS IV
1572,Chennai,2017,46000,CNG,Manual,First,25.0,1197.0,81.86,5.0,,4.95,Hyundai,Xcent 1.2 Kappa S Option CNG
1573,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498.0,98.6,5.0,,7.48,Honda,Jazz 1.5 S i DTEC
1574,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796.0,157.7,5.0,,5.5,Mercedes-Benz,E-Class 200 Kompressor Elegance
1575,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,,13.19,Audi,A4 2.0 TDI
1576,Mumbai,2012,88000,Petrol,Manual,First,19.1,1197.0,85.8,5.0,,3.85,Maruti,Swift Dzire VXI
1577,Delhi,2016,45376,Diesel,Manual,First,28.4,1248.0,73.75,5.0,8.58 Lakh,5.75,Maruti,Dzire VDI
1578,Pune,2014,81000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.0,Mahindra,XUV500 W8 4WD
1579,Kochi,2012,83381,Petrol,Manual,First,18.6,1199.0,79.4,5.0,,2.21,Chevrolet,Beat LT
1580,Kochi,2017,78526,Diesel,Manual,First,23.0,1498.0,98.96,5.0,12.67 Lakh,8.09,Ford,EcoSport 1.5 Diesel Titanium Plus
1581,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,,2.6,Hyundai,i10 Magna AT
1582,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,,12.0,Hyundai,Creta 1.6 CRDi AT SX Plus
1583,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3498.0,364.9,5.0,,9.99,Mercedes-Benz,S Class 2005 2013 S 350 L
1584,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.45,Hyundai,i10 Magna
1585,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,11.89 Lakh,8.99,Ford,EcoSport 1.5 Diesel Titanium
1586,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,3.15,Volkswagen,Vento Diesel Highline
1587,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248.0,73.75,5.0,10.48 Lakh,8.2,Maruti,Dzire ZDI Plus
1588,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,,11.5,Mahindra,Scorpio 1.99 S10
1589,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,7.3,Hyundai,i20 Asta 1.4 CRDi
1590,Chennai,2008,65000,Petrol,Manual,First,19.7,796.0,46.3,5.0,,1.59,Maruti,Alto LXi
1591,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,,3.15,Hyundai,i10 Magna
1592,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179.0,120.0,7.0,,8.5,Mahindra,Scorpio S6 7 Seater
1593,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199.0,75.0,5.0,,3.0,Skoda,Fabia 1.2L Diesel Classic
1594,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498.0,98.6,5.0,,7.75,Honda,Jazz 1.5 S i DTEC
1595,Mumbai,2016,41000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,,13.75,Mahindra,XUV500 AT W10 FWD
1596,Kochi,2017,39430,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,,8.29,Honda,City i VTEC CVT SV
1597,Coimbatore,2014,83274,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,5.79,Maruti,Swift VDI
1598,Mumbai,2011,49999,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,3.8,Honda,City 1.5 S MT
1599,Bangalore,2014,66000,Diesel,Manual,First,15.3,2956.0,83.8,7.0,,4.45,Tata,Sumo EX
1600,Delhi,2012,54000,Petrol,Manual,First,18.5,1197.0,82.85,5.0,,3.3,Hyundai,i20 Magna
1601,Jaipur,2009,80000,Diesel,Manual,Second,20.4,1248.0,91.2,5.0,,1.75,Fiat,Linea 1.3 Dynamic
1602,Bangalore,2011,72000,Petrol,Automatic,Second,12.9,1799.0,130.0,5.0,,5.5,Honda,Civic 2006-2010 1.8 V AT
1603,Pune,2017,44865,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,13.35,Hyundai,Creta 1.6 SX Plus Diesel
1604,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591.0,121.3,5.0,13.59 Lakh,5.25,Hyundai,Verna VTVT 1.6 SX Option
1605,Hyderabad,2011,75000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,,3.75,Hyundai,i20 1.4 CRDi Magna
1606,Kochi,2015,50624,Diesel,Manual,First,24.2,1498.0,98.6,7.0,,6.32,Honda,Mobilio S i DTEC
1607,Bangalore,2018,75000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,,7.75,Hyundai,Verna 1.6 SX CRDI (O) AT
1608,Chennai,2006,87000,Petrol,Manual,Second,15.3,1596.0,101.0,5.0,,1.37,Ford,Fiesta 1.6 ZXI Duratec
1609,Mumbai,2010,62000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.1,Hyundai,i10 Sportz 1.2
1610,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.02 Lakh,9.3,Maruti,Vitara Brezza ZDi
1611,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,12.0,Toyota,Innova 2.5 VX (Diesel) 7 Seater
1612,Hyderabad,2006,71993,Petrol,Manual,First,19.7,796.0,46.3,5.0,,1.8,Maruti,Alto LXi BSIII
1613,Chennai,2013,62000,Diesel,Automatic,Second,14.84,2143.0,170.0,5.0,,12.5,Mercedes-Benz,New C-Class C 220 CDI Elegance AT
1614,Delhi,2015,51000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,4.74,Maruti,Swift LDI
1615,Kochi,2016,26038,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.43,Hyundai,Grand i10 Sportz
1616,Kolkata,2011,78088,Petrol,Manual,First,12.4,1998.0,132.0,8.0,,6.3,Toyota,Innova 2.0 GX 8 STR
1617,Kochi,2017,30453,Diesel,Manual,First,22.77,1498.0,98.59,5.0,,8.45,Ford,EcoSport 1.5 TDCi Titanium
1618,Pune,2016,54000,Petrol,Manual,First,18.16,1196.0,86.8,5.0,,5.0,Ford,Figo 1.2P Titanium MT
1619,Chennai,2011,190000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,,13.0,Toyota,Fortuner 3.0 Diesel
1620,Hyderabad,2012,65097,Petrol,Manual,First,19.1,1197.0,85.8,5.0,,4.7,Maruti,Swift Dzire VXI
1621,Pune,2012,282000,Petrol,Manual,First,13.14,1798.0,160.0,5.0,,3.3,Skoda,Superb 1.8 TSI MT
1622,Jaipur,2009,111000,Petrol,Manual,Second,18.9,1061.0,67.0,5.0,,1.51,Maruti,Wagon R LXI Minor
1623,Kochi,2013,63295,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,6.09,Renault,Duster 110PS Diesel RxZ
1624,Mumbai,2015,35770,Petrol,Manual,First,20.73,1373.0,91.1,5.0,,5.95,Maruti,Ciaz VXi Plus
